,postcodes,names,distance,type_major,type_minor
192,BR1,Millennium Leisure Park,8335,entertainment,General Entertainment
193,BR1,Kensington Palace,18084,entertainment,Palace
194,BR1,Two Temple Place,14533,entertainment,History Museum
195,BR1,Hogarth's House,21227,entertainment,Art Museum
196,BR1,Royale Leisure Park,24759,entertainment,General Entertainment
197,BR1,Hampstead Theatre,20090,entertainment,Theater
198,BR1,Somerset House Studios,14691,entertainment,Exhibit
199,BR1,Cricket Pitch,21700,entertainment,Cricket Ground
200,BR1,Trafalgar Square,15021,outdoors,Plaza
201,BR1,Kensington Gardens,17754,outdoors,Park
202,BR1,Piccadilly Circus,15506,outdoors,Plaza
203,BR1,Chelsea Bridge,14665,outdoors,Bridge
204,BR1,Hyde Park,16817,outdoors,Park
205,BR1,Paddington Recreation Ground,19897,outdoors,Athletics & Sports
206,BR1,Queen Elizabeth Olympic Park,14228,outdoors,Park
207,BR1,Clapham Common,13334,outdoors,Park
208,BR1,"Royal Botanic Gardens (Royal Botanic Gardens, Kew)",23655,outdoors,Botanical Garden
209,BR1,Richmond Park,21261,outdoors,Park
210,BR1,The London Eye,14236,outdoors,Scenic Lookout
211,BR1,London Fields Lido,15474,outdoors,Pool
212,BR1,St James's Park,14921,outdoors,Park
213,BR1,St Katharine Docks,12365,outdoors,Harbor / Marina
214,BR1,Bushy Park,25445,outdoors,Park
215,BR1,Alexandra Park,22644,outdoors,Park
216,BR1,Hampstead Heath,21485,outdoors,Park
217,BR1,Tower Bridge,12399,outdoors,Bridge
218,BR1,Primrose Hill,19141,outdoors,Park
219,BR1,Regent's Park,18046,outdoors,Park
220,BR1,Victoria Park,14311,outdoors,Park
221,BR1,Greenwich Park,7210,outdoors,Park
222,BR1,London Fields,15285,outdoors,Park
223,BR1,Haven Green,25609,outdoors,Park
224,BR1,Buckingham Palace,15297,outdoors,Palace
225,BR1,Highbury Fields,17539,outdoors,Park
226,BR1,Shoreditch Park,15519,outdoors,Park
227,BR1,Tooting Bec Common,12221,outdoors,Park
228,BR1,Finsbury Park,19481,outdoors,Park
229,BR1,Clissold Park,18207,outdoors,Park
230,BR1,Holland Park,18917,outdoors,Park
231,BR1,Battersea Park,14790,outdoors,Park
232,BR1,Wimbledon Park,16565,outdoors,Park
233,BR1,Chiswick House & Gardens,21514,outdoors,Historic Site
234,BR1,Brockwell Park,10196,outdoors,Park
235,BR1,Nova,15077,outdoors,Pedestrian Plaza
236,BR1,Festival Terrace,14330,outdoors,Pedestrian Plaza
237,CR0,EL&N,17154,restaurants,Café
238,CR0,The Coffee Bar,16658,restaurants,Coffee Shop
239,CR0,EL&N,16691,restaurants,Café
240,CR0,L'ETO Caffè,16582,restaurants,Café
241,CR0,North Audley Cantine (NAC),17776,restaurants,French Restaurant
242,CR0,Richoux,17480,restaurants,Café
243,CR0,JOE & THE JUICE,17885,restaurants,Juice Bar
244,CR0,Novikov,17042,restaurants,Asian Restaurant
245,CR0,Where Magic Happens,13224,restaurants,Caribbean Restaurant
246,CR0,Din Tai Fung,17028,restaurants,Dumpling Restaurant
247,CR0,Fait Maison,17205,restaurants,Mediterranean Restaurant
248,CR0,Fortnum & Mason,17015,restaurants,Department Store
249,CR0,% Arabica,17098,restaurants,Coffee Shop
250,CR0,L'ETO Caffè,16443,restaurants,Café
251,CR0,Harry's Dolce Vita,16578,restaurants,Italian Restaurant
252,CR0,Drunch,17790,restaurants,Café
253,CR0,Ozone Coffee Roasters,18097,restaurants,Coffee Shop
254,CR0,Beit El Zaytoun,23505,restaurants,Middle Eastern Restaurant
255,CR0,Pear Tree Cafe,14356,restaurants,Café
256,CR0,Chelsea Bridge Burger,14678,restaurants,Burger Joint
257,CR0,The Monocle Café,18469,restaurants,Café
258,CR0,De Beauvoir Deli,19948,restaurants,Deli / Bodega
259,CR0,Cobham Services (Extra),24610,restaurants,Rest Area
260,CR0,EL&N,17929,restaurants,Café
261,CR0,Shoreditch Grind,18224,restaurants,Coffee Shop
262,CR0,Starbucks,16616,restaurants,Coffee Shop
263,CR0,Sketch,17534,restaurants,Modern European Restaurant
264,CR0,Caravan King's Cross,19674,restaurants,Breakfast Spot
265,CR0,The Old Brewery,13933,restaurants,Brewery
266,CR0,Chapati & Karak,16671,restaurants,Café
267,CR0,Dishoom,18031,restaurants,Indian Restaurant
268,CR0,Dishoom,19763,restaurants,Indian Restaurant
269,CR0,Circolo Popolare by Big Mamma,17865,restaurants,Italian Restaurant
270,CR0,Plaza Pastor,19756,restaurants,Mexican Restaurant
271,CR0,The Walton Village,24754,restaurants,Restaurant
272,CR0,Pavilion Cafe,19058,restaurants,Café
273,CR0,BOXPARK Shoreditch,17927,restaurants,Shopping Mall
274,CR0,Byron,17078,restaurants,Burger Joint
275,CR0,Wing Fu,14214,restaurants,Chinese Restaurant
276,CR0,Kingly Court,17470,restaurants,Food Court
277,CR0,COYA London,16792,restaurants,Latin American Restaurant
278,CR0,Ladurée,17107,restaurants,Dessert Shop
279,CR0,Amazonico,17304,restaurants,South American Restaurant
280,CR0,Le Relais de Venise L’Entrecôte,18316,restaurants,French Restaurant
281,CR0,Sexy Fish,17236,restaurants,Seafood Restaurant
282,CR0,Ferdi,16992,restaurants,Restaurant
283,CR0,Freej Swailh,16737,restaurants,Middle Eastern Restaurant
284,CR0,Drunch,20507,restaurants,Restaurant
285,CR0,Jean Georges,17443,restaurants,French Restaurant
286,CR0,The Elysee Restaurant and Roof Garden,17959,restaurants,Greek Restaurant
287,CR0,Borough Market,15997,grocery,Farmers Market
288,CR0,Sainsbury's,14445,grocery,Supermarket
289,CR0,Greenwich Market,13777,grocery,Market
290,CR0,Whole Foods Market,17770,grocery,Grocery Store
291,CR0,Sainsbury's,12837,grocery,Supermarket
292,CR0,Mercato Metropolitano,15276,grocery,Street Food Gathering
293,CR0,Fortnum & Mason,17015,grocery,Department Store
294,CR0,Sainsbury's,19276,grocery,Supermarket
295,CR0,Tesco Express,18008,grocery,Grocery Store
296,CR0,Tesco Extra,14694,grocery,Supermarket
297,CR0,Waitrose & Partners,21936,grocery,Supermarket
298,CR0,Waitrose & Partners,18476,grocery,Supermarket
299,CR0,Sainsbury's,3998,grocery,Supermarket
300,CR0,Sainsbury's,20487,grocery,Supermarket
301,CR0,Tesco Express,15579,grocery,Grocery Store
302,CR0,Sainsbury's,7794,grocery,Supermarket
303,CR0,Tesco Extra,16747,grocery,Supermarket
304,CR0,Waitrose & Partners,19286,grocery,Supermarket
305,CR0,Tesco Express,18702,grocery,Grocery Store
306,CR0,Sainsbury's,20573,grocery,Supermarket
307,CR0,Sainsbury's Local,15346,grocery,Grocery Store
308,CR0,Tesco,23889,grocery,Supermarket
309,CR0,Sainsbury's,28577,grocery,Supermarket
310,CR0,Waitrose & Partners,17857,grocery,Supermarket
311,CR0,Waitrose & Partners,18535,grocery,Supermarket
312,CR0,Tesco,18630,grocery,Supermarket
313,CR0,Waitrose & Partners,24461,grocery,Supermarket
314,CR0,Waitrose & Partners,19267,grocery,Supermarket
315,CR0,Asda,23324,grocery,Supermarket
316,CR0,Asda,29186,grocery,Supermarket
317,CR0,Sainsbury's,15440,grocery,Supermarket
318,CR0,Waitrose & Partners,13714,grocery,Supermarket
319,CR0,Asda,15049,grocery,Supermarket
320,CR0,Sainsbury's,19323,grocery,Supermarket
321,CR0,Morrisons,21676,grocery,Supermarket
322,CR0,Oseyo Shop,17223,grocery,Supermarket
