,PostDist,studio_metric,oneBed_metric,twoBed_metric,threeBed_metric,fourBed_metric,fiveBed_metric,distance_Metic,entertainment_Metric,grocery_Metric,nightlife_Metric,outdoors_Metric,restaurants_Metric
57,SE18,0.5964612686458545,0.35454816779970166,0.5141734660639237,0.9691254393788362,0.45829479038334975,0.24823794137514144,0.009527395498642177,0.10434448962338702,0.08680549581212704,0.08395228430675833,0.039542243986455755,0.11651248788973653
45,SE19,0.6736003779497934,0.40699000048306844,0.6339812802550207,0.6626683580196246,0.5148016752169465,0.36963402879886204,0.019123430726840678,0.31723164288057626,0.2954963786715634,0.36196921882739985,0.17277847685441475,0.3514156159966305
40,SE20,0.5964612686458545,0.41752795740525805,0.6473335687134723,0.6654371840479312,0.4994134459995224,0.24823794137514144,0.008496706130203386,0.22113402222003062,0.20276721877939183,0.21938517829505835,0.08952710896457178,0.21320038985282333
48,SE23,0.9374817903412733,0.5059584839062106,0.8193243066781339,0.9610058309037901,0.6798017789310489,0.6353600669240359,0.01150524323233149,0.1633967803305895,0.1459610281175536,0.14475254457468542,0.0726056561664192,0.1707129801789584
50,SE24,0.7975262528098056,0.5791364741289502,0.6995567132257179,0.9050576752440106,0.6678740605902704,0.5719201602001055,0.01241840350020237,0.2038514937018571,0.18767450849891507,0.1909395197579766,0.0940693355723134,0.20762208150956993
55,SE26,0.7056048380360515,0.5421282605817188,0.7117549962870888,0.6399261832392531,0.5701315450780973,0.24823794137514144,0.012638063994566174,0.26418250751010985,0.23856978742396054,0.2635063619269492,0.11913664942717098,0.2499914427648697
42,SE3,0.7866725580624673,0.5912653080412759,0.8041623406011233,1.0,0.7048198451981691,0.5281773848966345,0.007421567549640042,0.1857613791906543,0.1556676843014759,0.17818058744415097,0.07108004119073008,0.16953712799442752
43,SE4,0.8397350657161212,0.5047307430129516,0.7358486855316357,0.7697797281751949,0.6607651088236531,0.24823794137514144,0.01474678021396544,0.2621597026132896,0.24610053342163776,0.2712899592950272,0.12892085724770566,0.26866308080213097
46,SE8,0.7393465377227217,0.35454816779970166,0.5783630198305572,0.6558340727595386,0.5249413463949081,0.24823794137514144,0.03708964068936013,0.3975814707548617,0.3332921016773509,0.4230792493262112,0.23552454501458406,0.5134149975762278
47,SE9,0.5964612686458545,0.4844832154576769,0.7217497185373736,0.811257982405216,0.45829479038334975,0.24823794137514144,0.0,0.09631539492425137,0.09223543020838962,0.11923835908980365,0.019419361653535222,0.0968416461214314
58,SM4,0.3953515366076419,0.12599247971502078,0.06592719685473863,0.09390326787780819,0.04705286141601496,0.038356493067128045,0.09098375265881598,0.4480428193543676,0.3636473561778111,0.5713299108586011,0.32414419662969085,0.9543991272880917
62,SW1,0.5964612686458545,0.4514094897879941,0.7043974039181458,0.8504333240145373,0.47958173069841237,0.2200903011438019,0.027072606766233295,0.16420982280051158,0.14233336212871253,0.14864311102165215,0.09543060921898677,0.19728049170093834
61,SW11,0.5964612686458545,0.415642334961978,0.65380554683095,0.44555165816326525,0.2678828208241895,0.2400651341758433,0.04847850489037506,0.21746519735986494,0.19034552668046864,0.2094717928984747,0.13976674148318166,0.27968698915028356
59,SW12,0.6508142410526807,0.3810050242535209,0.5157095156736893,0.6405754848523261,0.5070084499793766,0.22808507990771215,0.07278320121367879,0.28607386180233574,0.27152420005638755,0.3171655960011316,0.2186216552830392,0.4591687762998844
60,SW13,0.7657435211791535,0.3591815583156417,0.5950259378198117,0.6710362518389981,0.5661951501442899,0.30032419730015164,0.03390144589218898,0.23588632808348273,0.2070101392888575,0.2168037434866573,0.15127490822341602,0.2987089540375719
68,SW14,0.0,0.1332369796141135,0.1637910755345866,0.13783176041702155,0.04603398186277689,0.24823794137514144,0.10769697678184213,0.38448153369031113,0.35391673375250654,0.5303033224299306,0.31597306387759105,0.8716768556070876
72,SW15,0.5293117500477708,0.22740029067150266,0.21318965888232555,0.2730742164239701,0.10686629575853111,0.06756503512649906,0.23273813956476974,0.3546339618196147,0.32579920304984533,0.445026257500843,0.28267406783686,0.7276957831402736
