,Place,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,PostDist,latitude,longitude
151,Maida Vale,313.0,409.0,551.0,770.0,1276.0,3005.0,W9,51.5195418,-0.1240786
152,Marble Arch,463.0,646.0,1040.0,1716.0,1774.0,15923.0,W1,51.5195418,-0.1240786
153,Mayfair,521.0,831.0,1340.0,2196.0,803.0,16897.0,W1,51.5195418,-0.1240786
154,Northfields,313.0,370.0,369.0,485.0,438.0,1321.0,W5,51.5195418,-0.1240786
155,Notting Hill,372.0,469.0,650.0,1056.0,1156.0,1300.0,W11,51.5195418,-0.1240786
156,Oxford Circus,357.0,453.0,985.0,654.0,803.0,1300.0,W1B,51.5195418,-0.1240786
157,Paddington,330.0,464.0,645.0,1295.0,1803.0,1300.0,W2,51.5195418,-0.1240786
158,Piccadilly Circus,498.0,719.0,1149.0,1370.0,2778.0,1300.0,W1J,51.5195418,-0.1240786
159,Queensway,335.0,452.0,618.0,1085.0,1898.0,1300.0,W2,51.5195418,-0.1240786
160,Ravenscourt Park,295.0,376.0,628.0,968.0,1322.0,1417.0,W6,51.5195418,-0.1240786
161,Shepherds Bush,265.0,338.0,412.0,499.0,781.0,1300.0,W12,51.5195418,-0.1240786
162,Soho,395.0,1001.0,941.0,1389.0,803.0,1300.0,W1,51.5195418,-0.1240786
163,South Ealing,313.0,416.0,476.0,654.0,531.0,1128.0,W5,51.5195418,-0.1240786
164,Stamford Brook,290.0,377.0,642.0,984.0,1610.0,1644.0,W6,51.5195418,-0.1240786
165,West Kensington,304.0,408.0,513.0,769.0,1009.0,1527.0,W14,51.5195418,-0.1240786
166,Westbourne Grove,332.0,461.0,628.0,1112.0,1911.0,1300.0,W2,51.5195418,-0.1240786
167,Bloomsbury,356.0,474.0,707.0,983.0,803.0,1300.0,WC1N,51.5195418,-0.1240786
168,Chancery Lane,313.0,833.0,1345.0,1425.0,803.0,1300.0,WC2A,51.5195418,-0.1240786
169,Covent Garden,313.0,468.0,757.0,1097.0,803.0,1300.0,WC2E,51.5195418,-0.1240786
170,Holborn,313.0,482.0,745.0,1046.0,803.0,1300.0,WC2B,51.5195418,-0.1240786
171,Leicester Square,430.0,548.0,679.0,1118.0,803.0,1300.0,WC2H,51.5195418,-0.1240786
172,Russell Square,313.0,484.0,653.0,792.0,897.0,1250.0,WC1B,51.5195418,-0.1240786
173,Tottenham Court Road,430.0,551.0,678.0,1118.0,803.0,1300.0,WC2H,51.5195418,-0.1240786
